Date,Open,High,Low,Close,Volume
02-01-2002,86.00,90.25,86.00,89.00,32571772
03-01-2002,89.10,91.75,87.25,90.89,96608224
04-01-2002,92.00,92.75,88.75,91.25,83221424
07-01-2002,92.00,92.25,88.00,90.72,80453848
08-01-2002,89.61,92.50,88.50,91.56,149584448
09-01-2002,91.00,91.50,86.66,89.22,104319984
10-01-2002,87.50,87.75,85.25,86.50,134468912
11-01-2002,87.50,89.50,86.50,88.50,48392516
14-01-2002,85.25,87.50,84.81,85.03,34868488
15-01-2002,85.00,90.00,84.50,88.00,76452320
16-01-2002,86.50,90.00,80.00,88.00,73580800
17-01-2002,86.53,88.25,85.90,86.25,72097752
18-01-2002,86.75,88.25,85.00,85.53,104493032
21-01-2002,85.25,86.50,84.25,85.25,27617188
22-01-2002,85.00,86.84,82.50,84.94,48338120
23-01-2002,82.00,83.00,80.00,81.53,105278408
24-01-2002,81.03,84.25,81.00,82.47,94844912
25-01-2002,82.63,83.31,80.25,81.25,26047040
28-01-2002,81.28,84.00,79.00,79.43,69077912
29-01-2002,81.28,81.95,79.00,80.25,74353048
30-01-2002,79.53,79.53,75.50,78.00,94711624
31-01-2002,76.28,80.00,76.22,76.75,63062104
01-02-2002,77.28,80.16,75.00,79.13,85325560
04-02-2002,78.25,78.57,74.75,75.52,48750840
05-02-2002,75.00,76.00,72.25,73.81,101264192
06-02-2002,75.03,75.03,70.00,71.61,55556080
07-02-2002,70.72,74.25,68.00,71.70,83176912
08-02-2002,71.97,75.00,71.32,73.28,55047380
11-02-2002,72.22,75.00,71.25,71.50,45950152
12-02-2002,71.50,73.66,69.50,71.10,49905948
13-02-2002,71.53,72.38,66.10,68.27,153598560
14-02-2002,68.02,69.75,66.50,67.94,68061024
15-02-2002,67.98,70.50,66.50,67.25,78512064
18-02-2002,68.27,68.48,65.25,66.04,57734716
19-02-2002,65.98,66.50,62.50,64.66,70843168
20-02-2002,64.94,64.94,58.00,60.04,109770192
21-02-2002,63.00,63.75,58.98,62.00,71520240
22-02-2002,62.98,64.25,61.25,62.41,38584116
25-02-2002,61.73,63.75,60.00,61.45,84168552
26-02-2002,61.73,67.00,61.18,64.29,139078592
27-02-2002,65.23,68.00,63.50,64.00,98475920
28-02-2002,67.77,68.06,64.25,66.00,42747032
